col_1,col_2,col_3,nom_commune,longitude,latitude
thoissey,THOISSEY,thoissey,Thoissey,4.8,46.1667
chaleins,CHALEINS,chaleins,Chaleins,4.8,46.0333
neuville-sur-ain,NEUVILLE-SUR-AIN,neuville sur ain,Neuville-sur-Ain,5.36667,46.0833
thil-01,THIL,thil,Thil,5.01667,45.8167
jujurieux,JUJURIEUX,jujurieux,Jujurieux,5.41667,46.0333
oncieu,ONCIEU,oncieu,Oncieu,5.46667,45.95
lurcy,LURCY,lurcy,Lurcy,4.76667,46.0667
balan-01,BALAN,balan,Balan,5.1,45.8333
ambutrix,AMBUTRIX,ambutrix,Ambutrix,5.33333,45.9333
sainte-croix-01,SAINTE-CROIX,sainte croix,Sainte-Croix,5.05195,45.8942
blyes,BLYES,blyes,Blyes,5.25,45.85
conzieu,CONZIEU,conzieu,Conzieu,5.6,45.7333
nievroz,NIEVROZ,nievroz,Niévroz,5.06667,45.8333
nurieux-volognat,NURIEUX-VOLOGNAT,nurieux volognat,Nurieux-Volognat,5.52667,46.1856
ambleon,AMBLEON,ambleon,Ambléon,5.6,45.75
saint-maurice-de-gourdans,SAINT-MAURICE-DE-GOURDANS,saint maurice de gourdans,Saint-Maurice-de-Gourdans,5.2,45.8167
chezery-forens,CHEZERY-FORENS,chezery forens,Chézery-Forens,5.88333,46.2167
sault-brenaz,SAULT-BRENAZ,sault brenaz,Sault-Brénaz,5.41667,45.85
murs-et-gelignieux,MURS-ET-GELIGNIEUX,murs et gelignieux,Murs-et-Gélignieux,5.66667,45.6333
petit-abergement,LE PETIT-ABERGEMENT,le petit abergement,Le Petit-Abergement,5.65,46.0333
cormoz,CORMOZ,cormoz,Cormoz,5.23333,46.45
saint-martin-de-bavel,SAINT-MARTIN-DE-BAVEL,saint martin de bavel,Saint-Martin-de-Bavel,5.68333,45.85
saint-trivier-de-courtes,SAINT-TRIVIER-DE-COURTES,saint trivier de courtes,Saint-Trivier-de-Courtes,5.08333,46.4667
