col_1,col_2,col_3,nom_commune,longitude,latitude
montfort-25,MONTFORT,montfort,Montfort,5.9,47.0667
allies,LES ALLIES,les allies,Alliés,6.45,46.95
remoray-boujeons,REMORAY-BOUJEONS,remoray boujeons,Remoray-Boujeons,6.23889,46.7675
valdahon,VALDAHON,valdahon,Valdahon,6.34473,47.1498
narbief,NARBIEF,narbief,Narbief,6.7,47.1333
rancenay,RANCENAY,rancenay,Rancenay,5.95,47.1833
laire,LAIRE,laire,Laire,6.73333,47.55
chaux-les-passavant,CHAUX-LES-PASSAVANT,chaux les passavant,Chaux-lès-Passavant,6.36667,47.2333
uzelle,UZELLE,uzelle,Uzelle,6.43333,47.4667
noironte,NOIRONTE,noironte,Noironte,5.88333,47.2667
anteuil,ANTEUIL,anteuil,Anteuil,6.56667,47.3833
saint-julien-les-russey,SAINT-JULIEN-LES-RUSSEY,saint julien les russey,Saint-Julien-lès-Russey,6.72445,47.2173
epenouse,EPENOUSE,epenouse,Épenouse,6.4,47.2167
velesmes-essarts,VELESMES-ESSARTS,velesmes essarts,Velesmes-Essarts,5.86667,47.1833
reugney,REUGNEY,reugney,Reugney,6.15,47.0167
lavans-vuillafans,LAVANS-VUILLAFANS,lavans vuillafans,Lavans-Vuillafans,6.25,47.0833
bonnevaux-25,BONNEVAUX,bonnevaux,Bonnevaux,6.18333,46.8167
epenoy,EPENOY,epenoy,Épenoy,6.36667,47.1333
montenois,MONTENOIS,montenois,Montenois,6.66667,47.5
lomont-sur-crete,LOMONT-SUR-CRETE,lomont sur crete,Lomont-sur-Crête,6.43333,47.3333
pierrefontaine-les-blamont,PIERREFONTAINE-LES-BLAMONT,pierrefontaine les blamont,Pierrefontaine-lès-Blamont,6.83917,47.3756
mamirolle,MAMIROLLE,mamirolle,Mamirolle,6.16667,47.2
vyt-les-belvoir,VYT-LES-BELVOIR,vyt les belvoir,Vyt-lès-Belvoir,6.61667,47.35
ronchaux,RONCHAUX,ronchaux,Ronchaux,5.9,47.05
vieilley,VIEILLEY,vieilley,Vieilley,6.08333,47.3333
courtefontaine-25,COURTEFONTAINE,courtefontaine,Courtefontaine,6.91667,47.3167
thiebouhans,THIEBOUHANS,thiebouhans,Thiébouhans,6.85,47.2833
guillon-les-bains,GUILLON-LES-BAINS,guillon les bains,Guillon-les-Bains,6.4,47.3167
corcondray,CORCONDRAY,corcondray,Corcondray,5.83333,47.2333
sombacour,SOMBACOUR,sombacour,Sombacour,6.26667,46.95
charbonnieres-les-sapins,CHARBONNIERES-LES-SAPINS,charbonnieres les sapins,Charbonnières-les-Sapins,6.21667,47.15
geney,GENEY,geney,Geney,6.56667,47.4833
vanclans,VANCLANS,vanclans,Vanclans,6.36667,47.1
domprel,DOMPREL,domprel,Domprel,6.46667,47.2
pessans,PESSANS,pessans,Pessans,5.88333,47.0667
saraz,SARAZ,saraz,Saraz,5.98333,47
hauterive-la-fresse,HAUTERIVE-LA-FRESSE,hauterive la fresse,Hauterive-la-Fresse,6.45,46.9667
miserey-salines,MISEREY-SALINES,miserey salines,Miserey-Salines,5.96667,47.2833
sancey-le-grand,SANCEY-LE-GRAND,sancey le grand,Sancey-le-Grand,6.58333,47.3
braillans,BRAILLANS,braillans,Braillans,6.09182,47.3088
jougne,JOUGNE,jougne,Jougne,6.4,46.7667
nancray,NANCRAY,nancray,Nancray,6.18333,47.25
arcey-25,ARCEY,arcey,Arcey,6.66667,47.5167
bartherans,BARTHERANS,bartherans,Bartherans,5.93333,47.0333
grand-charmont,GRAND-CHARMONT,grand charmont,Grand-Charmont,6.83333,47.5333
by,BY,by,By,5.9,47.0167
voujeaucourt,VOUJEAUCOURT,voujeaucourt,Voujeaucourt,6.76667,47.4667
ferrieres-le-lac,FERRIERES-LE-LAC,ferrieres le lac,Ferrières-le-Lac,6.9,47.2667
villars-sous-dampjoux,VILLARS-SOUS-DAMPJOUX,villars sous dampjoux,Villars-sous-Dampjoux,6.76667,47.35
pouilley-les-vignes,POUILLEY-LES-VIGNES,pouilley les vignes,Pouilley-les-Vignes,5.93333,47.25
aïssey,AISSEY,aissey,Aïssey,6.33333,47.2667
glamondans,GLAMONDANS,glamondans,Glamondans,6.28333,47.2667
serre-les-sapins,SERRE-LES-SAPINS,serre les sapins,Serre-les-Sapins,5.93333,47.25
chantrans,CHANTRANS,chantrans,Chantrans,6.15,47.05
lavernay,LAVERNAY,lavernay,Lavernay,5.81667,47.25
bouclans,BOUCLANS,bouclans,Bouclans,6.25,47.2333
gratteris,LE GRATTERIS,le gratteris,Le Gratteris,6.13333,47.1833
sommette,LA SOMMETTE,la sommette,La Sommette,6.51667,47.1833
durnes,DURNES,durnes,Durnes,6.23333,47.1
terres-de-chaux,LES TERRES-DE-CHAUX,les terres de chaux,Terres-de-Chaux,6.73778,47.3187
battenans-les-mines,BATTENANS-LES-MINES,battenans les mines,Battenans-les-Mines,6.26667,47.4167
chalezeule,CHALEZEULE,chalezeule,Chalezeule,6.08333,47.2667
allenjoie,ALLENJOIE,allenjoie,Allenjoie,6.9,47.5333
bief,BIEF,bief,Bief,6.76667,47.3333
rougemont-25,ROUGEMONT,rougemont,Rougemont,6.35,47.4833
rosieres-sur-barbeche,ROSIERES-SUR-BARBECHE,rosieres sur barbeche,Rosières-sur-Barbèche,6.66667,47.3167
chatillon-guyotte,CHATILLON-GUYOTTE,chatillon guyotte,Châtillon-Guyotte,6.16667,47.3333
hyemondans,HYEMONDANS,hyemondans,Hyémondans,6.65,47.3833
roulans,ROULANS,roulans,Roulans,6.23333,47.3167
soulce-cernay,SOULCE-CERNAY,soulce cernay,Soulce-Cernay,6.85,47.3167
valentigney,VALENTIGNEY,valentigney,Valentigney,6.83333,47.4667
arguel-25,ARGUEL,arguel,Arguel,6,47.2
amagney,AMAGNEY,amagney,Amagney,6.15,47.3
trepot,TREPOT,trepot,Trépot,6.15,47.1667
vellerot-les-vercel,VELLEROT-LES-VERCEL,vellerot les vercel,Vellerot-lès-Vercel,6.45,47.25
geneuille,GENEUILLE,geneuille,Geneuille,5.96667,47.3167
eysson,EYSSON,eysson,Eysson,6.43333,47.2
roche-lez-beaupre,ROCHE-LEZ-BEAUPRE,roche lez beaupre,Roche-lez-Beaupré,6.11417,47.2762
recologne-25,RECOLOGNE,recologne,Recologne,5.83333,47.2667
bosse-25,LA BOSSE,la bosse,La Bosse,6.65,47.1333
franey,FRANEY,franey,Franey,5.81667,47.2667
reculfoz,RECULFOZ,reculfoz,Reculfoz,6.16667,46.6917
guyans-vennes,GUYANS-VENNES,guyans vennes,Guyans-Vennes,6.56667,47.15
glere,GLERE,glere,Glère,7,47.35
noirefontaine,NOIREFONTAINE,noirefontaine,Noirefontaine,6.76667,47.35
mesmay,MESMAY,mesmay,Mesmay,5.85,47.0667
vuillecin,VUILLECIN,vuillecin,Vuillecin,6.31667,46.9333
busy,BUSY,busy,Busy,5.95,47.1667
russey,LE RUSSEY,le russey,Le Russey,6.73333,47.1667
vaire-le-petit,VAIRE-LE-PETIT,vaire le petit,Vaire-le-Petit,6.15,47.2833
germefontaine,GERMEFONTAINE,germefontaine,Germéfontaine,6.46667,47.2167
rosureux,ROSUREUX,rosureux,Rosureux,6.68333,47.2167
orgeans-blanchefontaine,ORGEANS-BLANCHEFONTAINE,orgeans blanchefontaine,Orgeans-Blanchefontaine,6.74362,47.2634
bretigney,BRETIGNEY,bretigney,Bretigney,6.63333,47.4833
gouhelans,GOUHELANS,gouhelans,Gouhelans,6.35,47.45
gilley-25,GILLEY,gilley,Gilley,6.48333,47.05
isle-sur-le-doubs,L'ISLE-SUR-LE-DOUBS,l isle sur le doubs,L'Isle-sur-le-Doubs,6.58333,47.45
fourg,FOURG,fourg,Fourg,5.81667,47.1
chenecey-buillon,CHENECEY-BUILLON,chenecey buillon,Chenecey-Buillon,5.96667,47.1333
cour-saint-maurice,COUR-SAINT-MAURICE,cour saint maurice,Cour-Saint-Maurice,6.7,47.25
abbevillers,ABBEVILLERS,abbevillers,Abbévillers,6.91667,47.4333
mont-de-vougney,MONT-DE-VOUGNEY,mont de vougney,Mont-de-Vougney,6.71667,47.2333
ecurcey,ECURCEY,ecurcey,Écurcey,6.81667,47.4
herimoncourt,HERIMONCOURT,herimoncourt,Hérimoncourt,6.88333,47.4333
malbrans,MALBRANS,malbrans,Malbrans,6.08333,47.1167
renedale,RENEDALE,renedale,Renédale,6.27751,47.0178
bouverans,BOUVERANS,bouverans,Bouverans,6.2,46.85
mediere,MEDIERE,mediere,Médière,6.6,47.45
huanne-montmartin,HUANNE-MONTMARTIN,huanne montmartin,Huanne-Montmartin,6.35,47.4333
grand-combe-chateleu,GRAND'COMBE-CHATELEU,grand combe chateleu,Grand'Combe-Châteleu,6.57001,47.0262
courtetain-et-salans,COURTETAIN-ET-SALANS,courtetain et salans,Courtetain-et-Salans,6.41667,47.25
montmahoux,MONTMAHOUX,montmahoux,Montmahoux,6.03333,46.9833
courvieres,COURVIERES,courvieres,Courvières,6.11667,46.8667
bourguignon,BOURGUIGNON,bourguignon,Bourguignon,6.78333,47.4167
hopitaux-neufs,LES HOPITAUX-NEUFS,les hopitaux neufs,Hôpitaux-Neufs,6.38333,46.7833
emagny,EMAGNY,emagny,Émagny,5.86667,47.3167
sainte-suzanne-25,SAINTE-SUZANNE,sainte suzanne,Sainte-Suzanne,6.76667,47.5
mont-de-laval,MONT-DE-LAVAL,mont de laval,Mont-de-Laval,6.63333,47.1667
grosbois,GROSBOIS,grosbois,Grosbois,6.3,47.35
abbenans,ABBENANS,abbenans,Abbenans,6.45,47.5
saint-vit,SAINT-VIT,saint vit,Saint-Vit,5.81667,47.1833
thulay,THULAY,thulay,Thulay,6.86667,47.4167
chatelblanc,CHATELBLANC,chatelblanc,Châtelblanc,6.11667,46.675
malans-25,MALANS,malans,Malans,6.03084,47.0478
chatillon-le-duc,CHATILLON-LE-DUC,chatillon le duc,Châtillon-le-Duc,6.01667,47.3
champlive,CHAMPLIVE,champlive,Champlive,6.25,47.2833
routelle,ROUTELLE,routelle,Routelle,5.85,47.1667
dung,DUNG,dung,Dung,6.75,47.5
vennes,VENNES,vennes,Vennes,6.54723,47.1528
beure,BEURE,beure,Beure,6,47.2
fontaine-les-clerval,FONTAINE-LES-CLERVAL,fontaine les clerval,Fontaine-lès-Clerval,6.4714,47.4253
consolation-maisonnettes,CONSOLATION-MAISONNETTES,consolation maisonnettes,Consolation-Maisonnettes,6.6,47.15
blussans,BLUSSANS,blussans,Blussans,6.6,47.4333
tour-de-scay,LA TOUR-DE-SCAY,la tour de scay,La Tour-de-Sçay,6.23333,47.3833
jallerange,JALLERANGE,jallerange,Jallerange,5.71667,47.25
verrieres-de-joux,VERRIERES-DE-JOUX,verrieres de joux,Verrières-de-Joux,6.44917,46.8967
dampjoux,DAMPJOUX,dampjoux,Dampjoux,6.76667,47.35
lods,LODS,lods,Lods,6.25,47.05
bart,BART,bart,Bart,6.76667,47.4833
arcon-25,ARCON,arcon,Arçon,6.38333,46.95
flagey-rigney,FLAGEY-RIGNEY,flagey rigney,Flagey-Rigney,6.23333,47.4167
pontarlier,PONTARLIER,pontarlier,Pontarlier,6.36667,46.9
etouvans,ETOUVANS,etouvans,Étouvans,6.71667,47.4667
seloncourt,SELONCOURT,seloncourt,Seloncourt,6.86667,47.4667
branne-25,BRANNE,branne,Branne,6.46667,47.3833
houtaud,HOUTAUD,houtaud,Houtaud,6.31667,46.9167
semondans,SEMONDANS,semondans,Semondans,6.7,47.55
boujailles,BOUJAILLES,boujailles,Boujailles,6.08333,46.8833
mandeure,MANDEURE,mandeure,Mandeure,6.8,47.45
gondenans-montby,GONDENANS-MONTBY,gondenans montby,Gondenans-Montby,6.45,47.4333
touillon-et-loutelet,TOUILLON-ET-LOUTELET,touillon et loutelet,Touillon-et-Loutelet,6.35,46.7833
villeneuve-d-amont,VILLENEUVE-D'AMONT,villeneuve d amont,Villeneuve-d'Amont,6.03333,46.9333
flangebouche,FLANGEBOUCHE,flangebouche,Flangebouche,6.46667,47.1333
magny-chatelard,MAGNY-CHATELARD,magny chatelard,Magny-Châtelard,6.32139,47.2273
fournet-blancheroche,FOURNET-BLANCHEROCHE,fournet blancheroche,Fournet-Blancheroche,6.83333,47.1667
nans-25,NANS,nans,Nans,6.41667,47.4833
dompierre-les-tilleuls,DOMPIERRE-LES-TILLEULS,dompierre les tilleuls,Dompierre-les-Tilleuls,6.18333,46.8667
riviere-drugeon,LA RIVIERE-DRUGEON,la riviere drugeon,La Rivière-Drugeon,6.21667,46.8667
abbans-dessus,ABBANS-DESSUS,abbans dessus,Abbans-Dessus,5.88333,47.1167
dampierre-sur-le-doubs,DAMPIERRE-SUR-LE-DOUBS,dampierre sur le doubs,Dampierre-sur-le-Doubs,6.73333,47.4667
chaudefontaine-25,CHAUDEFONTAINE,chaudefontaine,Chaudefontaine,6.16667,47.3333
roches-les-blamont,ROCHES-LES-BLAMONT,roches les blamont,Roches-lès-Blamont,6.85,47.4167
voillans,VOILLANS,voillans,Voillans,6.41667,47.3833
rang,RANG,rang,Rang,6.56667,47.4333
chapelle-des-bois,CHAPELLE-DES-BOIS,chapelle des bois,Chapelle-des-Bois,6.11667,46.6
cusance,CUSANCE,cusance,Cusance,6.41667,47.3167
chaffois,CHAFFOIS,chaffois,Chaffois,6.26667,46.9167
avoudrey,AVOUDREY,avoudrey,Avoudrey,6.43333,47.1333
meslieres,MESLIERES,meslieres,Meslières,6.88333,47.4167
montussaint,MONTUSSAINT,montussaint,Montussaint,6.3,47.4333
mancenans,MANCENANS,mancenans,Mancenans,6.53333,47.45
cotebrune,COTEBRUNE,cotebrune,Côtebrune,6.31667,47.25
soye,SOYE,soye,Soye,6.5,47.45
palise,PALISE,palise,Palise,6.08333,47.3667
verne,VERNE,verne,Verne,6.35,47.4
solemont,SOLEMONT,solemont,Solemont,6.7,47.35
baume-les-dames,BAUME-LES-DAMES,baume les dames,Baume-les-Dames,6.36667,47.35
bians-les-usiers,BIANS-LES-USIERS,bians les usiers,Bians-les-Usiers,6.26667,46.9667
pouligney-lusans,POULIGNEY-LUSANS,pouligney lusans,Pouligney-Lusans,6.2,47.3333
amathay-vesigneux,AMATHAY-VESIGNEUX,amathay vesigneux,Amathay-Vésigneux,6.2,47.0167
esnans,ESNANS,esnans,Esnans,6.31667,47.3333
avanne-aveney,AVANNE-AVENEY,avanne aveney,Avanne-Aveney,5.96417,47.2023
etalans,ETALANS,etalans,Étalans,6.26667,47.15
sainte-colombe-25,SAINTE-COLOMBE,sainte colombe,Sainte-Colombe,6.26667,46.8833
vennans,VENNANS,vennans,Vennans,6.23333,47.3333
bonnevaux-le-prieure,BONNEVAUX-LE-PRIEURE,bonnevaux le prieure,Bonnevaux-le-Prieuré,6.16667,47.1333
cleron,CLERON,cleron,Cléron,6.06667,47.0833
vaux-les-pres,VAUX-LES-PRES,vaux les pres,Vaux-les-Prés,5.88333,47.2333
palantine,PALANTINE,palantine,Palantine,5.95,47.0833
arbouans,ARBOUANS,arbouans,Arbouans,6.81667,47.4833
lombard-25,LOMBARD,lombard,Lombard,5.85362,47.0773
neuchatel-urtiere,NEUCHATEL-URTIERE,neuchatel urtiere,Neuchâtel-Urtière,6.73333,47.3667
ornans,ORNANS,ornans,Ornans,6.15,47.1
colombier-fontaine,COLOMBIER-FONTAINE,colombier fontaine,Colombier-Fontaine,6.7,47.45
merey-sous-montrond,MEREY-SOUS-MONTROND,merey sous montrond,Mérey-sous-Montrond,6.06667,47.15
rillans,RILLANS,rillans,Rillans,6.36667,47.4167
cussey-sur-l-ognon,CUSSEY-SUR-L'OGNON,cussey sur l ognon,Cussey-sur-l'Ognon,5.93333,47.3333
belvoir,BELVOIR,belvoir,Belvoir,6.6,47.3167
saint-hippolyte-25,SAINT-HIPPOLYTE,saint hippolyte,Saint-Hippolyte,6.81667,47.3167
montbeliard,MONTBELIARD,montbeliard,Montbéliard,6.8,47.5167
montgesoye,MONTGESOYE,montgesoye,Montgesoye,6.2,47.0833
cluse-et-mijoux,LA CLUSE-ET-MIJOUX,la cluse et mijoux,La Cluse-et-Mijoux,6.38333,46.8833
longeville-25650,LA LONGEVILLE,la longeville,La Longeville,6.46667,47
chateauvieux-les-fosses,CHATEAUVIEUX-LES-FOSSES,chateauvieux les fosses,Châteauvieux-les-Fossés,6.20195,47.0642
auxon-dessus,AUXON-DESSUS,auxon dessus,Auxon-Dessus,5.96667,47.3
vaudrivillers,VAUDRIVILLERS,vaudrivillers,Vaudrivillers,6.43333,47.2833
cuse-et-adrisans,CUSE-ET-ADRISANS,cuse et adrisans,Cuse-et-Adrisans,6.4,47.4833
vandoncourt,VANDONCOURT,vandoncourt,Vandoncourt,6.9,47.4667
silley-amancey,SILLEY-AMANCEY,silley amancey,Silley-Amancey,6.13333,47.0333
lavans-quingey,LAVANS-QUINGEY,lavans quingey,Lavans-Quingey,5.88333,47.0833
vauclusotte,VAUCLUSOTTE,vauclusotte,Vauclusotte,6.73333,47.2833
bretigney-notre-dame,BRETIGNEY-NOTRE-DAME,bretigney notre dame,Bretigney-Notre-Dame,6.3,47.3167
ecole-valentin,ECOLE-VALENTIN,ecole valentin,École-Valentin,5.98473,47.2723
champvans-les-moulins,CHAMPVANS-LES-MOULINS,champvans les moulins,Champvans-les-Moulins,5.91667,47.25
petite-chaux,PETITE-CHAUX,petite chaux,Petite-Chaux,6.13333,46.7
badevel,BADEVEL,badevel,Badevel,6.93333,47.5
fessevillers,FESSEVILLERS,fessevillers,Fessevillers,6.91667,47.2833
flagey-25,FLAGEY,flagey,Flagey,6.11667,47.0333
maîche,MAICHE,maiche,Maîche,6.8,47.25
crouzet,LE CROUZET,le crouzet,Le Crouzet,6.13333,46.7
audincourt,AUDINCOURT,audincourt,Audincourt,6.83333,47.4833
chevigney-sur-l-ognon,CHEVIGNEY-SUR-L'OGNON,chevigney sur l ognon,Chevigney-sur-l'Ognon,5.83333,47.3
desandans,DESANDANS,desandans,Désandans,6.66667,47.5333
cubrial,CUBRIAL,cubrial,Cubrial,6.41667,47.5
chevillotte,LA CHEVILLOTTE,la chevillotte,La Chevillotte,6.16639,47.22
mathay,MATHAY,mathay,Mathay,6.78333,47.4333
devecey,DEVECEY,devecey,Devecey,6.01667,47.3333
bonnetage,BONNETAGE,bonnetage,Bonnétage,6.7,47.2
fontenelles,LES FONTENELLES,les fontenelles,Fontenelles,6.75,47.2
laviron,LAVIRON,laviron,Laviron,6.55,47.25
sarrageois,SARRAGEOIS,sarrageois,Sarrageois,6.21639,46.7253
crouzet-migette,CROUZET-MIGETTE,crouzet migette,Crouzet-Migette,6.01667,46.95
saint-maurice-colombier,SAINT-MAURICE-COLOMBIER,saint maurice colombier,Saint-Maurice-Colombier,6.64473,47.442
placey,PLACEY,placey,Placey,5.85,47.2667
luxiol,LUXIOL,luxiol,Luxiol,6.35,47.3833
cademene,CADEMENE,cademene,Cademène,6.03333,47.1
breteniere-25,LA BRETENIERE,la breteniere,La Bretenière,6.26667,47.3833
marvelise,MARVELISE,marvelise,Marvelise,6.6,47.5167
adam-les-passavant,ADAM-LES-PASSAVANT,adam les passavant,Adam-lès-Passavant,6.36667,47.3
vauchamps-25,VAUCHAMPS,vauchamps,Vauchamps,6.25,47.2667
charmauvillers,CHARMAUVILLERS,charmauvillers,Charmauvillers,6.91667,47.2333
vellerot-les-belvoir,VELLEROT-LES-BELVOIR,vellerot les belvoir,Vellerot-lès-Belvoir,6.6,47.35
malpas,MALPAS,malpas,Malpas,6.28333,46.8333
faimbe,FAIMBE,faimbe,Faimbe,6.61667,47.4833
villers-saint-martin,VILLERS-SAINT-MARTIN,villers saint martin,Villers-Saint-Martin,6.41667,47.35
glay,GLAY,glay,Glay,6.88333,47.4
val-de-roulans,VAL-DE-ROULANS,val de roulans,Val-de-Roulans,6.26667,47.3667
saint-hilaire-25,SAINT-HILAIRE,saint hilaire,Saint-Hilaire,6.25,47.3333
goumois,GOUMOIS,goumois,Goumois,6.95,47.2667
lanthenans,LANTHENANS,lanthenans,Lanthenans,6.63333,47.4
auxon-dessous,AUXON-DESSOUS,auxon dessous,Auxon-Dessous,5.95,47.3
villars-sous-ecot,VILLARS-SOUS-ECOT,villars sous ecot,Villars-sous-Écot,6.7,47.4167
orsans-25,ORSANS,orsans,Orsans,6.38333,47.25
clerval,CLERVAL,clerval,Clerval,6.5,47.4
gonsans,GONSANS,gonsans,Gonsans,6.3,47.2333
taillecourt,TAILLECOURT,taillecourt,Taillecourt,6.85,47.5
crosey-le-grand,CROSEY-LE-GRAND,crosey le grand,Crosey-le-Grand,6.53333,47.35
longemaison,LONGEMAISON,longemaison,Longemaison,6.46667,47.0833
lantenne-vertiere,LANTENNE-VERTIERE,lantenne vertiere,Lantenne-Vertière,5.78333,47.2333
chasnans,CHASNANS,chasnans,Chasnans,6.31667,47.0833
beutal,BEUTAL,beutal,Beutal,6.65,47.4667
rahon-25,RAHON,rahon,Rahon,6.58333,47.3167
saint-point-lac,SAINT-POINT-LAC,saint point lac,Saint-Point-Lac,6.3,46.8167
sainte-marie-25,SAINTE-MARIE,sainte marie,Sainte-Marie,6.7,47.5
pompierre-sur-doubs,POMPIERRE-SUR-DOUBS,pompierre sur doubs,Pompierre-sur-Doubs,6.51667,47.4167
valonne,VALONNE,valonne,Valonne,6.66667,47.35
montagney-servigney,MONTAGNEY-SERVIGNEY,montagney servigney,Montagney-Servigney,6.3064,47.4812
vernois-les-belvoir,VERNOIS-LES-BELVOIR,vernois les belvoir,Vernois-lès-Belvoir,6.65,47.3167
vaux-et-chantegrue,VAUX-ET-CHANTEGRUE,vaux et chantegrue,Vaux-et-Chantegrue,6.25,46.8
montrond-le-chateau,MONTROND-LE-CHATEAU,montrond le chateau,Montrond-le-Château,06.05,47.1333
echenans,ECHENANS,echenans,Échenans,6.69528,47.5262
hyevre-magny,HYEVRE-MAGNY,hyevre magny,Hyèvre-Magny,6.43333,47.3667
bonnal,BONNAL,bonnal,Bonnal,6.35,47.5
metabief,METABIEF,metabief,Métabief,6.35,46.7833
guyans-durnes,GUYANS-DURNES,guyans durnes,Guyans-Durnes,6.25,47.1167
levier,LEVIER,levier,Levier,6.13333,46.95
chevigney-les-vercel,CHEVIGNEY-LES-VERCEL,chevigney les vercel,Chevigney-lès-Vercel,6.37167,47.1637
memont,LE MEMONT,le memont,Le Mémont,6.68167,47.1562
blarians,BLARIANS,blarians,Blarians,6.18333,47.4167
rochejean,ROCHEJEAN,rochejean,Rochejean,6.3,46.75
tallans,TALLANS,tallans,Tallans,6.28333,47.4167
frambouhans,FRAMBOUHANS,frambouhans,Frambouhans,6.76667,47.2167
osselle,OSSELLE,osselle,Osselle,5.85,47.1333
berche,BERCHE,berche,Berche,6.75,47.4667
franois,FRANOIS,franois,Franois,5.93333,47.2333
vieux-charmont,VIEUX-CHARMONT,vieux charmont,Vieux-Charmont,6.83333,47.5167
villers-chief,VILLERS-CHIEF,villers chief,Villers-Chief,6.45,47.2333
vaire-arcier,VAIRE-ARCIER,vaire arcier,Vaire-Arcier,6.15251,47.2831
belmont-25,BELMONT,belmont,Belmont,6.36639,47.2209
rurey,RUREY,rurey,Rurey,6.01667,47.1
surmont,SURMONT,surmont,Surmont,6.61667,47.2833
chenalotte,LA CHENALOTTE,la chenalotte,La Chenalotte,6.68333,47.1167
pont-les-moulins,PONT-LES-MOULINS,pont les moulins,Pont-les-Moulins,6.36667,47.3167
villers-buzon,VILLERS-BUZON,villers buzon,Villers-Buzon,5.85,47.2333
hyevre-paroisse,HYEVRE-PAROISSE,hyevre paroisse,Hyèvre-Paroisse,6.43333,47.3667
scey-maisieres,SCEY-MAISIERES,scey maisieres,Scey-Maisières,6.07556,47.1006
vaufrey,VAUFREY,vaufrey,Vaufrey,6.91667,47.35
burgille,BURGILLE,burgille,Burgille,5.78333,47.2667
accolans,ACCOLANS,accolans,Accolans,6.53333,47.5
malbuisson,MALBUISSON,malbuisson,Malbuisson,6.3,46.8
charquemont,CHARQUEMONT,charquemont,Charquemont,6.81667,47.2167
montjoie-le-chateau,MONTJOIE-LE-CHATEAU,montjoie le chateau,Montjoie-le-Château,6.9,47.35
athose,ATHOSE,athose,Athose,6.31667,47.0833
mercey-le-grand,MERCEY-LE-GRAND,mercey le grand,Mercey-le-Grand,5.73333,47.2167
trevillers,TREVILLERS,trevillers,Trévillers,6.86667,47.2833
laval-le-prieure,LAVAL-LE-PRIEURE,laval le prieure,Laval-le-Prieuré,6.61667,47.1833
orchamps-vennes,ORCHAMPS-VENNES,orchamps vennes,Orchamps-Vennes,6.53333,47.1333
verrieres-du-grosbois,VERRIERES-DU-GROSBOIS,verrieres du grosbois,Verrières-du-Grosbois,6.27695,47.2009
doubs,DOUBS,doubs,Doubs,6.35,46.9333
courcelles-les-montbeliard,COURCELLES-LES-MONTBELIARD,courcelles les montbeliard,Courcelles-lès-Montbéliard,6.78612,47.5
voires,VOIRES,voires,Voires,6.25,47.1
pouilley-francais,POUILLEY-FRANCAIS,pouilley francais,Pouilley-Français,5.85,47.2
moutherot,LE MOUTHEROT,le moutherot,Le Moutherot,5.73333,47.25
valleroy-25,VALLEROY,valleroy,Valleroy,6.11667,47.3833
fallerans,FALLERANS,fallerans,Fallerans,6.28333,47.1333
gemonval,GEMONVAL,gemonval,Gémonval,6.58333,47.5333
belieu,LE BELIEU,le belieu,Le Bélieu,6.63333,47.1167
cendrey,CENDREY,cendrey,Cendrey,6.25,47.4
septfontaines,SEPTFONTAINES,septfontaines,Septfontaines,6.18333,46.9833
fontain,FONTAIN,fontain,Fontain,6.01667,47.2
villers-le-lac,VILLERS-LE-LAC,villers le lac,Villers-le-Lac,6.66667,47.0667
bizot,LE BIZOT,le bizot,Le Bizot,6.66667,47.1333
valoreille,VALOREILLE,valoreille,Valoreille,6.75,47.3
ecouvotte,L'ECOUVOTTE,l ecouvotte,L'Écouvotte,6.25,47.3333
onans,ONANS,onans,Onans,6.61667,47.5
battenans-varin,BATTENANS-VARIN,battenans varin,Battenans-Varin,6.71195,47.2489
sainte-anne-25,SAINTE-ANNE,sainte anne,Sainte-Anne,5.98333,46.95
villars-saint-georges,VILLARS-SAINT-GEORGES,villars saint georges,Villars-Saint-Georges,5.83333,47.1167
landresse,LANDRESSE,landresse,Landresse,6.46667,47.25
breseux,LES BRESEUX,les breseux,Bréseux,6.81667,47.2667
etray,ETRAY,etray,Étray,6.35,47.1167
bournois,BOURNOIS,bournois,Bournois,6.5,47.5
allondans,ALLONDANS,allondans,Allondans,6.75,47.5167
epeugney,EPEUGNEY,epeugney,Épeugney,6.03333,47.1167
roche-les-clerval,ROCHE-LES-CLERVAL,roche les clerval,Roche-lès-Clerval,6.48333,47.3667
cernay-l-eglise,CERNAY-L'EGLISE,cernay l eglise,Cernay-l'Église,6.83333,47.2667
issans,ISSANS,issans,Issans,6.73333,47.5333
larnod,LARNOD,larnod,Larnod,5.96667,47.1833
torpes-25,TORPES,torpes,Torpes,5.88333,47.1667
saone,SAONE,saone,Saône,6.11667,47.2333
fournets-luisans,FOURNETS-LUISANS,fournets luisans,Fournets-Luisans,6.56251,47.1117
aubonne,AUBONNE,aubonne,Aubonne,6.33333,47.0333
bugny,BUGNY,bugny,Bugny,6.35,47
longevelle-sur-doubs,LONGEVELLE-SUR-DOUBS,longevelle sur doubs,Longevelle-sur-Doubs,6.65,47.45
belleherbe,BELLEHERBE,belleherbe,Belleherbe,6.66667,47.2667
feule,FEULE,feule,Feule,6.73333,47.35
vaucluse,VAUCLUSE,vaucluse,Vaucluse,6.68333,47.25
bannans,BANNANS,bannans,Bannans,6.23333,46.8833
sancey-le-long,SANCEY-LE-LONG,sancey le long,Sancey-le-Long,6.6,47.3
ouhans,OUHANS,ouhans,Ouhans,6.3,47
