nom_com,nom_com_m,insee_com,statut,population,insee_arr,insee_dep,insee_reg,code_epci,X_COORD,Y_COORD,latitude,longitude
Fontguenand,FONTGUENAND,36077,Commune simple,238,2,36,24,200040558,589071.045051,6679006.58822,47.219099,1.538113
Trévé,TREVE,22376,Commune simple,1657,4,22,53,200067460,269033.296851,6806511.13592,48.220751,-2.826706
Ugny-sur-Meuse,UGNY-SUR-MEUSE,55522,Commune simple,109,2,55,44,200066157,898141.264818,6840841.1815,48.641414,5.704718
La Hauteville,LA HAUTEVILLE,78302,Commune simple,174,1,78,11,247800550,598964.919987,6845825.34725,48.702246,1.620586
Paulmy,PAULMY,37181,Commune simple,233,3,37,24,200071587,534894.447343,6655666.54032,46.982569,0.844884
Rouans,ROUANS,44145,Commune simple,2956,2,44,52,200067346,333363.252003,6686387.80197,47.137614,-1.822758
Mendive,MENDIVE,64379,Commune simple,164,1,64,75,200067106,367444.731981,6229021.95236,43.12608,-1.133581
Orliac,ORLIAC,24313,Commune simple,60,4,24,75,200041440,546528.105502,6403477.20855,44.717454,1.07142
Corvol-l'Orgueilleux,CORVOL-L'ORGUEILLEUX,58085,Commune simple,800,2,58,27,200067429,727735.614632,6703656.72432,47.432223,3.39077
Mirepoix-sur-Tarn,MIREPOIX-SUR-TARN,31346,Commune simple,1014,3,31,76,243100773,585533.649959,6303855.84527,43.815004,1.561719
Cussay,CUSSAY,37094,Commune simple,570,3,37,24,200071587,530544.188202,6660036.77205,47.02862,0.765641
Saint-Pierre-de-Varennes,SAINT-PIERRE-DE-VARENNES,71468,Commune simple,849,1,71,27,247100290,814945.006311,6639660.76491,46.830794,4.511923
Tursac,TURSAC,24559,Commune simple,339,4,24,75,200041168,545686.494528,6432219.37281,45.001668,1.052937
Saint-Bandry,SAINT-BANDRY,02672,Commune simple,267,4,02,32,200071991,710839.666937,6918339.68964,49.371457,3.169912
Francheville,FRANCHEVILLE,39236,Commune simple,55,2,39,27,200069615,890729.831094,6640371.50369,46.839113,5.500011
Dolus-le-Sec,DOLUS-LE-SEC,37097,Commune simple,671,3,37,24,200071587,540208.965076,6675988.78167,47.139042,0.888153
Coux et Bigaroque-Mouzens,COUX ET BIGAROQUE-MOUZENS,24142,Commune simple,1220,4,24,75,200041051,540347.385019,6418626.21153,44.852245,0.992582
Plouzévédé,PLOUZEVEDE,29213,Commune simple,1766,3,29,53,242900751,177421.417309,6855965.56024,48.606516,-4.113535
Grives,GRIVES,24206,Commune simple,120,4,24,75,200041051,547897.766083,6408963.74501,44.759379,1.062568
